"text","len","x0","y0","x1","y1","num_lines","is_article"
"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/320965050","119","0.065146571403206","0.89893793988232","0.54921083331014","0.90648901974951","1","0"
"A machine learning approach for prediction of on-time performance of ﬂights","75","0.065146571403206","0.85801413490325","0.90860593255401","0.87479431238589","1","0"
"Conference Paper · September 2017","33","0.065146571403206","0.82897820090221","0.22875628960907","0.83746251428344","1","0"
"DOI: 10.1109/DASC.2017.8102138","30","0.065146571403206","0.81735907507163","0.16989375447473","0.82323213719056","1","0"
"CITATIONS
62","12","0.065146571403206","0.76121348611736","0.10402244862644","0.78263770880508","2","0"
"5 authors, including:","21","0.065146571403206","0.72997515375461","0.15909802182787","0.73845946713584","1","0"
"Lakshminarasimhan Srinivasan","28","0.10857761900534","0.70732191415304","0.25052377018954","0.71571200289436","1","0"
"University of California, Santa Cruz","36","0.10857761900534","0.69389777216693","0.26556982796689","0.70228786090825","1","0"
"2 PUBLICATIONS   74 CITATIONS","29","0.10857761900534","0.67879561243255","0.23446298257563","0.68718570117387","1","0"
"SEE PROFILE","11","0.12052115709593","0.65930340430764","0.1672349811694","0.6660154753007","1","0"
"READS
602","9","0.49945704742458","0.76121348611736","0.5237767375782","0.78263770880508","2","0"
"Aditya Vikram Sharma","20","0.54397387121677","0.70732191415304","0.64423851691849","0.71571200289436","1","0"
"Arizona State University","24","0.54397387121677","0.69389777216693","0.65196300821332","0.70228786090825","1","0"
"1 PUBLICATION   62 CITATIONS","28","0.54397387121677","0.67879561243255","0.66522771529748","0.68718570117387","1","0"
"SEE PROFILE","11","0.55591740930736","0.65930340430764","0.60263123338083","0.6660154753007","1","0"
"All content following this page was uploaded by Aditya Vikram Sharma on 12 July 2024.","85","0.070575452353474","0.037792832595542","0.46283331316824","0.046182921336864","1","0"
"The user has requested enhancement of the downloaded file.","58","0.070575452353474","0.019139633344771","0.29187021224075","0.025851704337828","1","0"
"A Machine Learning Approach for Prediction of
On-time Performance of Flights","76","0.10962254901961","0.86783457449495","0.89037","0.93324593434343","2","0"
"Balasubramanian Thiagarajanα, Lakshminarasimhan Srinivasanβ, Aditya Vikram Sharmaψ,
Dinesh Sreekanthanγ, Vineeth Vijayaraghavanδ
Undergraduate Studentαβψγ, Director − Research and Outreachδ
Sri Venkateswara College of Engineeringα, SRM Universityβ,γ, College of Engineering Guindyψ,
Solarillion Foundationδ
(balasubramanian.in.1995α, lakshminarasimhan.srinivasanβ, adityasharmaψ, dinesh.sreekanthanγ, vineethvδ)
@ieee.org","421","0.10515343137255","0.73004081691919","0.89484680882353","0.85027651515152","7","0"
"Abstract—One of the major business problems that airlines
face is the signiﬁcant costs that are associated with ﬂights being
delayed due to natural occurrences and operational shortcomings,
which is an expensive affair for the airlines, creating problems
in scheduling and operations for the end-users thus causing
bad reputation and customer dissatisfaction. In our paper, a
two-stage predictive model was developed employing supervised
machine learning algorithms for the prediction of ﬂight on-
time performance. The ﬁrst stage of the model performs binary
classiﬁcation to predict the occurrence of ﬂight delays and the
second stage does regression to predict the value of the delay in
minutes. The dataset used for evaluating the model was obtained
from historical data which contains ﬂight schedules and weather
data for 5 years. It was observed that,
in the classiﬁcation
stage, Gradient Boosting Classiﬁer performed the best and in
the regression stage, Extra-Trees Regressor performed the best.
The performance of the other algorithms is also extensively
documented in the paper. Furthermore, a real-time Decision
Support Tool was built using the model which utilizes features
that are readily available before the departure of an airplane
and can inform passengers and airlines about ﬂight delays in
advance, helping them reduce possible monetary losses.","1364","0.080006341176471","0.41731030429293","0.49023014183007","0.69542045454545","23","1"
"Keywords—Flight Delay Prediction, Classiﬁcation, Regression,","60","0.096285784313725","0.40450998080808","0.49024772222222","0.41845709191919","1","0"
"Machine Learning, Deep Learning, Decision Support Tool","54","0.080006341176471","0.39193041111111","0.4530476124183","0.40325111818182","1","0"
"I. INTRODUCTION","15","0.22159967320261","0.36267119191919","0.34865333660131","0.37525073737374","1","0"
"In January 2017, air carriers in the United States of America","61","0.065427941176471","0.29102965151515","0.49025590686275","0.35869126767677","1","0"
"reported an average on-time arrival rate of 76.0%, down
from 81.0% in 2016 and 82.5% in the last quarter of
2016, according to the U.S. Department of Transportation(cid:2)s
Air Travel Consumer Report [1]. The carriers ﬁling on-time
performance data reported that 24.01% of their ﬂights were
delayed, of which 7.19% of their ﬂights were delayed by
aviation system delays, 7.86% by late-arriving aircraft, 5.90%
by factors under an airlines control, such as maintenance or
crew problems, 0.72% by extreme weather and 0.04% for
security reasons. Weather is considered a factor in both the
extreme-weather category and the aviation-system category as
well as a factor in delays attributed to late-arriving aircraft,
although airlines do not report speciﬁc causes in that category.
According to the Bureau of Transportation Statistics (BTS),
around 20% of all scheduled commercial ﬂights are delayed
and delays have ﬁve major causes, which are due to air car-","954","0.080004962745098","0.092484529040404","0.49024766944444","0.33148356098485","16","1"
"rier, extreme weather, National Aviation System, late-arriving
aircraft and security [2]. BTS uses the data collected from
airlines to determine the percentage of late ﬂights delayed by
weather, which includes those reported in the categories of
extreme weather, late-arriving aircraft, and National Aviation
System delays. In January 2017, 34.33% of late ﬂights were
delayed by weather, up from 29.76% in January 2016. Flight
delays cost airlines millions of dollars per year, while causing a
great inconvenience to the passengers. Thus, predicting delays
beforehand can prevent unnecessary expenditure as well as
improve customer satisfaction.","645","0.5097683120915","0.53024516313131","0.92002576797386","0.69376667449495","11","1"
"In our paper, a two-stage predictive model was built for
predicting the departure and arrival delays of ﬂights. The
dataset for training and validating our model consists of US
Domestic Airline On-time Performance data and weather data
from the year 2012 to 2016 which were extracted from BTS
and World Weather Online API respectively. It contains on-
time arrival performance data for non-stop domestic ﬂights
served by major air carriers in 15 major interconnected air-
ports. Following convention laid down by BTS, ﬂights that
arrive at the gate within 15 minutes of the scheduled time are
considered as being on-time and rest of the ﬂights including
cancelled and diverted ﬂights are deemed as delayed. The
model comprises two states, the training state and the predic-
tion state. The training dataset after pre-processing contains
information about approximately 3.2 million ﬂights and is
used to train the predictive model. In the prediction state,
the trained model labels each data point by performing a
binary classiﬁcation to predict whether a scheduled ﬂight will
be delayed or on time and then predicts the value of delay
in minutes. The supervised learning algorithms implemented
were Extra-Trees, Random Forests, AdaBoost, Gradient Boost-
ing, Artiﬁcial Neural Networks and Deep Neural Networks. A
Decision Support Tool (DST) was built using the model which
can be used for predicting real-time ﬂight delays.","1423","0.5097683120915","0.1679819290404","0.92003065179739","0.52773051199495","24","1"
"The rest of the paper is organized as follows: Section 2
presents the related work in ﬂight delay prediction, Section
3 discusses the problem statement, Section 4 enumerates the
dataset and pre-processing used in building the model, Section
5 describes the model, Section 6 discusses the results of the","302","0.5097683120915","0.092507172222222","0.92003553562092","0.16546727790404","5","1"
"978-1-5386-0365-9/17/$31.00 ©2017 IEEE","38","0.082352614379085","0.034338383838384","0.33179052287582","0.044439393939394","1","0"
"model, Section 7 describes the Decision Support Tool and
Section 8 provides conclusions and directions for future work.","119","0.080006535947712","0.90760424310606","0.49023124183007","0.93527938989899","2","1"
"II. RELATED WORK","16","0.21494279029412","0.88265868282828","0.35530098594771","0.89523778848485","1","0"
"A good quantum of research attention has been devoted
to the study of ﬂight delays; predicting and analyzing the
delays and their causes have long been active subjects of
research because of their vital importance in air trafﬁc control,
airline decision making and ground delay program. Different
researchers have studied this problem from various perspec-
tives.","363","0.080007189542484","0.77206424146465","0.49023189542484","0.87521992020202","7","1"
"A statistical method has been deployed by Mueller and
Chatterji [3] to analyse the departure, arrival data and char-
acterize the delay data. Tu et al. [4] have also used statistical
methods to develop a model for estimating ﬂight departure
delay distributions with long-term trend and short-term pattern.
Statistical methods rely on estimates and approximations, thus
their results might lead to fallacious conclusions.","420","0.080007189542484","0.66623803244949","0.49024817418301","0.76938867957071","7","1"
"Xu et al. [5] in their paper have developed a stochastic
Bayesian Network model and have demonstrated the method-
ology on a case study analysis of two routes in the National
Airspace System. Zonglei et al. [6] have built a classiﬁcation
model using the ﬂight data in 2006 from a hub-airport in
China. Khanmohammadi et al. [7] and Demir & Demir [8]
have utilized artiﬁcial neural networks for predicting ﬂight
delays in JFK airport and Esenboga International Airport
respectively. The existing models have been developed for
either one particular airport or a set of few airports, whereas
the proposed model considers ﬁfteen major airports in the USA
and thus can be generalized well.","684","0.080007189542484","0.48493254939394","0.49024817418301","0.66356247055556","12","1"
"Rebollo and Balakrishnan [9] proposed a new class of mod-
els, which considered both temporal and spatial delay states as
explanatory variables, and used Random Forest algorithms to
predict departure delays. Hugo Alonso and Antonio Loureiro
[10] in their paper have developed a unimodal model for
predicting ﬂight departure delay. Liu et al. [11] and Belcastro
et al. [12] have developed a model for arrival delay prediction
of a scheduled ﬂight. Choi et al. [13] have proposed a model
to predict airline arrival delays caused by inclement weather
conditions using data mining and supervised machine learning
algorithms.","620","0.080007189542484","0.31872946224747","0.49023189542484","0.4822569875","11","1"
"In the existing literature, researchers have worked exten-
sively on the problem of classiﬁcation of ﬂight delays and
comparatively little research exists on prediction of departure
as well as arrival ﬂight delays using machine learning methods.
In this paper, a two-stage predictive model is developed em-
ploying supervised machine learning algorithms, where binary
classiﬁcation is performed to predict the occurrence of a delay
and then the value of the delay in minutes is predicted. The
model is applied to predict both departure as well as arrival
delays and it is used in building a DST.","595","0.080007189542484","0.16761870777778","0.49023189542484","0.31605390035353","10","1"
"III. PROBLEM STATEMENT","22","0.19151017150327","0.14267321275252","0.37874359738562","0.15526676363636","1","0"
"The delays in ﬂights create huge losses for the air carriers
and also have a great impact on the daily lives of people.
Hence, there is a need to predict the ﬂight delays in advance","181","0.080007189542484","0.092477833686869","0.49023189542484","0.13524908686869","3","1"
"so that the air carriers and their passengers can be pre-informed
about the delays and they can act accordingly. This paper
details the implementation of machine learning techniques for
prediction of ﬂight delays which is used in developing a DST
that broadly addresses the above mentioned need.","295","0.50976803310458","0.86231888012626","0.91999273898693","0.9352773144697","5","1"
"IV. DATA AND PRE-PROCESSING","27","0.60015746571895","0.83844134563131","0.82960838382353","0.85102181414141","1","0"
"On-time performance data was sourced from a data reposi-
tory provided by the Bureau of Transportation Statistics. This
dataset contains 12 features describing the on-time arrival and
departure performance of domestic ﬂights in the USA. Weather
data for 5 years (2012-2016) was extracted from the World
Weather Online API consisting of weather attributes for origin
and destination airports. On-time performance and weather
data were collected for 15 major airports throughout USA and
the extracted features were combined to form the ﬁnal dataset.
The feature set of the proposed model is described in Table I.
Filtering of null values was performed as a precursor to feature
selection. Feature selection is the process of selecting a set of
relevant features for the model from a set of existing features.
Various techniques such as Univariate and Tree-based feature
selection were implemented, however the Recursive Feature
Elimination algorithm produced the optimum results, with a
better accuracy and lesser time taken, as shown in Table II.
This algorithm eliminates the weakest feature from the feature
set recursively until a sharp decrease in the predicting accuracy
of the model is observed. As a result, a reduction in the total
number of features in the feature set was considered. Principal
Component Analysis was also performed on the feature set and
tested with the model; however this did not yield favorable
results. The reduced feature set is shown in Table I.","1477","0.50976862133987","0.47199611179293","0.92000960598039","0.83175792525253","24","1"
"V. PREDICTIVE MODEL","19","0.63199116555556","0.44811954141414","0.79779075676471","0.46069887560606","1","0"
"A. Flight Delay Prediction","26","0.50976797385621","0.42885565252525","0.69012033562092","0.44143469292929","1","0"
"The model consists of two phases:
1. Departure Delay Prediction
2. Arrival Delay Prediction
According to the standards set by the BTS, a ﬂight is said
to have a class value of 0 if it departs or arrives no later than
15 minutes from the scheduled time, otherwise it is said to
have a class value of 1 and is considered as a delay. If the
classiﬁcation stage outputs 0, then there is an absence of delay.
If the classiﬁcation stage outputs 1, then the regression stage
predicts the value of delay in minutes.","507","0.50976797385621","0.2737208630303","0.91999267973856","0.42225794583333","10","1"
"1) Departure Delay Prediction: The feature set used in the
departure delay prediction phase consists of 9 airline on-time
performance data features and 12 weather features as shown in
Table I. The dependency of each feature is equally distributed,
hence every feature is important in predicting the outcome.","307","0.50976634598039","0.19819378863636","0.92000733062091","0.27115348088384","5","1"
